10,1596978722-3119,https://jobee.pk/accounting-taxation-jobs,"Marketing Executive / Marketing Officer, Global Tax & Financial Consulting",https://jobee.pk/jobdetail/marketing-executive-marketing-officer-9b5528e0d5b1c376,Accounting/Taxation Jobs,Marketing Jobs,1,"Rawalpindi, Pakistan",Full Time Jobs,Female,18,40,Bachelors,BBA / B.Com / Equivalent,Entry Level,10000,15000,Monthly,Fresh,"Jul 17, 2020","Oct 15, 2020",Morning Shift,"[{'Skills':'MS Excel'},{'Skills':'Marketing'}]",Global Tax & Financial Consulting,Rawalpindi,Entry-Level
11,1596978439-3077,https://jobee.pk/banking-financial-services-jobs,"Sales Executive / Business Development Executive, Pak Qatar Family Takaful",https://jobee.pk/jobdetail/sales-executive-business-development-executive-f947ec34b337b8c8,Banking/Financial Services Jobs,Sales & Business Development Jobs,10,"Lahore, Pakistan",Full Time Jobs,No Preference,18,40,Bachelors,BBA / B.Com / Equivalent,Entry Level,10000,50000,Monthly,Fresh,"Jun 19, 2020","Sep 17, 2020",Morning Shift,"[{'Skills':'Financial Services'},{'Skills':'Portfolio Management'},{'Skills':'Business Development'},{'Skills':'Sales'}]",Pak Qatar Family Takaful,Lahore,Entry-Level
12,1596978608-3105,https://jobee.pk/importers-distributors-exporters-jobs,"Chief Operating Officer, BioSorin",https://jobee.pk/jobdetail/chief-operating-officer-5d5bf7f7ee7b2a10,Importers/ Distributors/Exporters Jobs,Human Resources Jobs,1,"Lahore, Pakistan",Full Time Jobs,Female,18,50,Masters,MBA / MHRM / Equivalent,Experienced Professional,40000,45000,Monthly,3 Years,"May 29, 2020","Jul 10, 2020",Morning Shift,"[{'Skills':'Time Management'},{'Skills':'Leadership Skills'},{'Skills':'Human Resources'}]",BioSorin,Lahore,Mid-Level
13,1596978750-3124,https://jobee.pk/accounting-taxation-jobs,"Assistant Accountant / Office Coordinator, Rain Gaskell",https://jobee.pk/jobdetail/assistant-accountant-office-coordinator-570f1dbc6159d200,Accounting/Taxation Jobs,"Accounts, Finance &  Financial Services Jobs",2,"Islamabad, Pakistan",Full Time Jobs,No Preference,18,40,Certification,AAT / ACCA / Equivalent,Intermediate,25000,50000,Monthly,2 Years,"Jun 10, 2020","Sep 07, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'Financial Services'},{'Skills':'Accounting'},{'Skills':'Bookkeeping'},{'Skills':'Payroll'}]",Rain Gaskell,Islamabad,Intermediate
14,1596978269-3060,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Customer Service Executive, Q-Solutions",https://jobee.pk/jobdetail/customer-service-executive-97c3bad3e82feba1,Agriculture/Fertilizer/Pesticide Jobs,Client Services & Customer Support Jobs,1,"Lahore, Pakistan",Full Time Jobs,No Preference,18,40,Bachelors,BA / B.Com / Equivalent,Entry Level,20000,25000,Monthly,Fresh,"Jul 16, 2020","Oct 14, 2020",Night Shift,"[{'Skills':'Communication Skills'},{'Skills':'Customer Service'}]",Q-Solutions,Lahore,Entry-Level
15,1596978339-3068,https://jobee.pk/banking-financial-services-jobs,"Business Development Executive, HG Markets Pvt Ltd",https://jobee.pk/jobdetail/business-development-executive-11709a6bf716178b,Banking/Financial Services Jobs,Sales & Business Development Jobs,10,"Karachi, Pakistan",Full Time Jobs,No Preference,20,35,Bachelors,BBA / BS / BSC / Equivalent,Entry Level,20000,25000,Monthly,Fresh,"May 12, 2020","May 31, 2020",Morning Shift,"[{'Skills':'Communication Skills'},{'Skills':'Negotiation Skills'},{'Skills':'Business Development'},{'Skills':'Marketing'}]",HG Markets Pvt Ltd,Karachi,Entry-Level
16,1596978891-3142,https://jobee.pk/food-beverages-jobs,"Chef / Cook, Diet 360",https://jobee.pk/jobdetail/chef-cook-ba61117add45a890,Food & Beverages Jobs,Hotel/Restaurant Management Jobs,1,"Lahore, Pakistan",Full Time Jobs,No Preference,18,40,Intermediate/A-Level,FA / FSC / I.Com / Equivalent,Entry Level,15000,20000,Monthly,Fresh,"Jul 08, 2020","Oct 06, 2020",Morning Shift,"[{'Skills':'Cooking'},{'Skills':'Cutting'},{'Skills':'Kitchen Management'},{'Skills':'Meals preparation'}]",Diet 360,Lahore,Entry-Level
17,1596978462-3082,https://jobee.pk/banking-financial-services-jobs,"Sales & Marketing Officer, Adamjee Life Assurance Co. Ltd",https://jobee.pk/jobdetail/sales-marketing-officer-ccc98136a9ee34b4,Banking/Financial Services Jobs,Sales & Business Development Jobs,1,"Lahore, Pakistan",Full Time Jobs,Male,18,40,Intermediate/A-Level,FA / FSC / I.Com / Equivalent,Entry Level,20000,25000,Monthly,Fresh,"Jun 08, 2020","Sep 06, 2020",Morning Shift,"[{'Skills':'Meetings Management'},{'Skills':'Business Development'},{'Skills':'Sales'}]",Adamjee Life Assurance Co. Ltd,Lahore,Entry-Level
18,1596978424-3075,https://jobee.pk/banking-financial-services-jobs,"Business Development Manager, Jubilee Life Insurance",https://jobee.pk/jobdetail/business-development-manager-8392d8dd2c486e66,Banking/Financial Services Jobs,Sales & Business Development Jobs,7,"Rawalpindi, Pakistan",Contract Jobs,No Preference,20,40,Bachelors,BBA / BS / B.Com / Equivalent,Entry Level,15000,30000,Monthly,Fresh,"Jul 15, 2020","Jul 31, 2020",Morning Shift,"[{'Skills':'Communication Skills'},{'Skills':'Business Development'}]",Jubilee Life Insurance,Rawalpindi,Entry-Level
19,1596978419-3074,https://jobee.pk/banking-financial-services-jobs,"Sales Executive / Business Development Executive, Jubilee Life Insurance",https://jobee.pk/jobdetail/sales-executive-business-development-executive-543aaa1175f15577,Banking/Financial Services Jobs,Sales & Business Development Jobs,20,"Lahore, Pakistan",Full Time Jobs,No Preference,20,45,Intermediate/A-Level,FA / FSC / I.Com / Equivalent,Entry Level,15000,60000,Monthly,Fresh,"Jul 16, 2020","Oct 14, 2020",Morning Shift,"[{'Skills':'Business Development'},{'Skills':'Sales Pitching'},{'Skills':'Sales'}]",Jubilee Life Insurance,Lahore,Entry-Level
20,1596978309-3065,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Farm Supervisor, HajiSons",https://jobee.pk/jobdetail/farm-supervisor-935c980689ff1ab5,Agriculture/Fertilizer/Pesticide Jobs,Field Operations Jobs,1,"Sharaqpur, Pakistan",Full Time Jobs,Male,18,40,Bachelors,BA / B.Com / Equivalent,Experienced Professional,25000,30000,Monthly,3 Years,"May 13, 2020","Aug 11, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'MS Excel'},{'Skills':'MS PowerPoint'},{'Skills':'Communication Skills'},{'Skills':'Supervisory Skills'}]",HajiSons,Lahore,Mid-Level
21,1596978731-3121,https://jobee.pk/accounting-taxation-jobs,"Receptionist / Front Desk Officer, Kingcamco pharma",https://jobee.pk/jobdetail/receptionist-front-desk-officer-a7f91dabc6537a06,Accounting/Taxation Jobs,"Secretarial, Clerical & Front Office Jobs",1,"Lahore, Pakistan",Full Time Jobs,Female,18,25,Bachelors,BA / B.Com / Equivalent,Entry Level,10000,15000,Monthly,Fresh,"Jul 06, 2020","Oct 03, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'Communication Skills'},{'Skills':'Administrative Skills'}]",Kingcamco pharma,Lahore,Entry-Level
22,1596978662-3108,https://jobee.pk/accounting-taxation-jobs,"Admin Officer / Admin Executive, BPO Accountancy Pvt. Limited",https://jobee.pk/jobdetail/admin-officer-admin-executive-b947cf87d2572899,Accounting/Taxation Jobs,Administration Jobs,1,"Lahore, Pakistan",Full Time Jobs,No Preference,20,30,Bachelors,BBA / BS / B.Com / Equivalent,Entry Level,20000,35000,Monthly,Fresh,"May 29, 2020","Jun 15, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'Time Management'},{'Skills':'Administrative Skills'}]",BPO Accountancy Pvt. Limited,Lahore,Entry-Level
